?Codigo;Descricao;Unidade
141416;REGULADOR 7 62KV 833KVA 1093A 1F À RECUP;UN
141417;REGULADOR 19 92KV 333KVA 167A 1F À RECUP;UN
141422;RELIGA 15 5KV 400A 3F AUT 12 5KA À RECUP;UN
141427;RELIGADOR 400A 13 2KV 8KA 3F SUCATA;UN
141432;RELIGADO 800A 14 4KV 16KA 3F SUCATA;UN
141433;SECCION 3F B CARGA 24KV 630A 16KA SUCATA;CDA
141434;SEC 3F BAJO CARGA 24KV 400A 12KA  SUCATA;CDA
141436;CH17 5KV A13 630A MONO INVE 25KA SUCATA;PEÇ
141439;CH SECC BY PASS  400A 15KV DED191 SUCATA;PEÇ
141441;CH SEC TRIP 15KV 400A S/CAR DQN21 SUCATA;PEÇ
141442;SECCIONADORA UNIP 400A 15KV PM219 SUCATA;PEÇ
141443;SECCIONADORA UNIP 630A 15KV PM219 SUCATA;PEÇ
141446;BLINDADA 13 8KV 2500A 11CUBIC sucata;UN
141449;DISJUNTOR 15KV; C2
141463;SEC TRIP;15KV
141467;SEC UNIPOLAR 34.5KV 630A 1750MM D198.03;PEÇ
141668;PAINEL DUAS POSIÇÕES   SIST DE MED E FAT;PEÇ
141769;RELIG RD 3F 15kV 630A 12.5kA  SUCATA;PI
141770;RELIG RD 3F 38kV 630A 12.5kA MAT 20 0899;PI
141771;DISJ 17 5KV 25KA 2000A VÁC ESE003;PI
141868;CHAVE MONOFÁSICA 200A COM INTERRUPÇÃO A;
141880;SECCION 3F B CARGA 24KV 630A 16KA SUCATA;CDA
141980;RELIGADOR 1F 27KV  100A OP.3F NTE044/01;CDA
142039;RELIG. 1F 15KV 200A BASE TIP.C COM.NBIOT;CDA
142047;RELIG 3F 15kV 12 5kA Lítio PM Br 199.83;CDA
150136;DISJUNTOR  145 KV  1200 A  24 KA  SUCATA;PI
150138;DISJ 145KV 2000A SF6 40KA EXT GSH001/4;PI
150692;CH145KV 1250A MAN S/LT MONT HOR <6 0M;PEÇ
150693;CH 145KV 1250A MAN C/LT HOR <10M GSH003;PEÇ
150711;CH17 5KV A3 2000A MAN TRIP VERTICAL 25KA;PEÇ
150719;CH MONO COMAN BANC CAP 15KV 200A ETA 130;PEÇ
150751;CHAVE FACA UNIP 400A FP SUBST P/6783749;PEÇ
150763;SEC UNIPOLAR 17 5KV 400A 438MM D198.03;PEÇ
150765;CH17 5KV A9 2000A MON TAN VT 25KA ESE006;PEÇ
150771;CHAVE SECC 145KV 2000A 3F MAN SECO <10M;UN
150777;CH FACA UP MONT SUBT P/6783749 SUCATA;PEÇ
150793;DISJUNTOR 72 5kV 2000 31 5kA SUCATA;UN
150794;DISJ 72 5KV 1250A PVO EXT 25KA SUCATA;UN
150967;Disjuntor 145kV   2000   40kA sucata;UN
150968;DISJUNTOR 72 5kV 1250A 20kA SUCATA;UN
160232;KIT CONTENCAO EMERG AMBIENTAL ABSORV LIQ;PI
160271;BY PASS ISOLADO  TEMPORÁRIO PARA TRANSFO;CDA
160272;Cobertura flexível p/ condutor de 15kV d;PI
160273;COBERTURA PROT. CABO Ø25mm 26 4kV+PRES;PI
160373;TAPA CAJA EMPAL 1F ITM HORIZ M 2077;CDA
161895;APARELHO AR COND JANELA 220V 21000BTU/H;PI
161962;MAT OMBR NOM 22 1544 EDBR  Inversor Ener;CDA
161966;CAIXA PP BT SUBT 1200X700 TIPO5 D199.39;CDA
161987;Kit de Isolação de Cabos Aplicados nas A;CDA
161993;INVERSOR PORTAVEL 12/220V MIN: 300W;CDA
162011;Kit Motopoda a Bateria modelo DUA 300 co;CDA
162119;BATERIAS;UN
163825;RETIF.3F D 220CA/12VCC 75A VEN ETR198 FP;PEÇ
163828;BATERIA 125VCC 100AH VENT ET BR 107;PEÇ
163866;CAPAC POT DERIV 200KVAR 6600V 16KA ET002;PEÇ
163868;CAPAC POT DERIV 200KVAR 7960V 25KA ET002;PEÇ
163872;CAIXA  PLÁSTICA DIV. TIPOS E TAMANHOS IN;KG
163893;PLASTICO DIV TIPOS SUCATA;KG
163896;PAINEL SERV. AUXILIAR CA/CC  ET R 182 R ;PEÇ
163916;BANCO CAPAC 11 95KV MAN 2X4 8MVAR ESE009;CJT
163919;BANCO CAPAC 13 8KV MAN 2X2 4MVAR ESE009;CJT
164192;QUADRO SERV. AUXILIAR  EXT  ET R 182 R 0;UN
164197;RETIF.3F D 220CA/125CC 50A VAL ETR198 FP;UN
164218;CJT 3 ELEM.TRANSF.MED.MT 10A A RECUPERAR;UN
164219;BATERIA ESTAC. VLRA 12V 26AH/20H  ET 275;UN
164325;CAIXA PCO 3F/N 160A 320X270MM D199.02 FP;PEÇ
164389;CONDICIONADOR  AR  JANELA 12000 BTU(SUC);UN
164428;SUCATA RELIG 1F 27KV 200A OP3F NTE044/01;UN
164464;SUPORTE P/ BANCO CAPACITOR TIPO1 D42401;UN
164467;CONECTOR PARAF.FEND;DED1845 FP
164468;CONEC PARAF.FEND;P/COND.CU 6 10MM FP
164472;CONEC.COMP.ESTRIB;DED 0100 I3 FORA PARÃO
164473;CONEC.COMP.ESTR DED0100I4 FP SUB.4549538;PEÇ
164475;PROTETOR DE PARA RAIOS D780.04 FP;PEÇ
164479;CAIXA CONEX P/ LIG. CONSUMIDOR DDT 1748;PEÇ
164481;CAIXA DERIVAÇÃO DED 1905 R5 FP;PEÇ
164483;TOMADA P/RELE FOTOELÉTRICO  DED 0066 R.5;PEÇ
164485;BARRAMENTO BIFÁSICO DED 1841;PEÇ
164486;BARRAMENTO TRIFÁSICO DED 1842 R2;PEÇ
164492;CAIXA DERIVAÇÃO 160A D199.01 FP;PEÇ
164513;CX DISJ TERM TRIFASICO ATE 125A PM2145I1;PEÇ
164514;BARRAM DERIV 0 6/1 0KV 8SAIDAS PM 2039I3;PEÇ
164516;CX.MEDID.POLIF+TRAVA TAMPA PM 2157 FP;PEÇ
164521;LUVA EMEND ISOL AL BT 70MM2 PM R720.24.0;PEÇ
164524;CX MEDIDOR MONO ELETRONICO DED 2186 R1;PEÇ
164525;CAIXA POLIC MED POLIF LENTE TRAVA D19021;PEÇ
164527;CONTROLE COMANDO BANCO CAPACIT MT PM2199;PEÇ
164532;COBERTURA CONEXÕES 15KV PM2208 R0 FP;PEÇ
164536;UP 2015 – WM UP8 GSTR001/2;CDA
164549;UP TELEC PARA INSTAL EXTERNO SUCATA;CDA
164550;CAIXA METALICA MED ELETRON AL I2 D190.50;PEÇ
164554;SUCATA TERMINAL LEITURA 120V;UN
164561;UP TELEC PARA INSTAL EXTERNO RECUPERADO;CDA
164562;UP TELEC PARA INSTAL EXTERNO À RECUPERAR;CDA
164584;CX MEDIDOR MONO. C/ TRAVA D2197 FP;PEÇ
164598;CAIXA BIPARTIDA MEDIDOR MONO PMA190.13.0;UN
164620;CAIXA PROT SEC POLIC  30 125A U/P D19003;UN
